timestamps,TP9,AF7,AF8,TP10,Right AUX
1731795635.127,285.156,-1000.000,-1000.000,-901.367,0.000
1731795635.131,319.824,-928.711,42.969,972.656,0.000
1731795635.134,376.465,-1000.000,258.789,-578.613,0.000
1731795635.138,290.527,-625.488,-1000.000,-521.484,0.000
1731795635.142,216.797,823.242,-1000.000,956.055,0.000
1731795635.146,314.941,-968.750,-14.648,-809.082,0.000
1731795635.150,392.578,913.086,-835.449,29.297,0.000
1731795635.154,319.824,987.305,-112.305,-648.438,0.000
1731795635.158,249.512,970.215,-1000.000,805.176,0.000
1731795635.162,339.844,973.145,137.207,-834.473,0.000
1731795635.166,377.930,970.703,-807.129,623.535,0.000
1731795635.170,363.281,943.848,610.352,242.188,0.000
1731795635.170,363.281,943.848,610.352,242.188,0.000
1731795635.174,299.805,962.402,-596.191,939.453,0.000
1731795635.177,315.430,975.586,212.891,-981.445,0.000
1731795635.181,409.668,969.238,-887.695,934.082,0.000
1731795635.185,495.605,972.168,982.422,978.027,0.000
1731795635.189,485.352,971.191,426.758,971.191,0.000
1731795635.193,332.031,971.680,472.168,971.191,0.000
1731795635.197,320.312,973.633,-945.801,971.191,0.000
1731795635.201,406.250,961.914,955.078,971.191,0.000
1731795635.205,375.977,923.828,955.566,971.191,0.000
1731795635.209,336.914,-907.715,955.566,971.191,0.000
1731795635.213,360.840,28.809,973.145,971.191,0.000
1731795635.216,421.875,-1000.000,971.191,971.191,0.000
1731795635.220,431.152,-962.891,970.703,971.191,0.000
1731795635.224,376.465,-986.816,971.191,971.191,0.000
1731795635.228,377.930,-994.629,971.191,971.191,0.000
1731795635.232,436.523,-952.637,971.680,971.191,0.000
1731795635.236,369.629,-1000.000,971.680,971.191,0.000
1731795635.240,246.582,-58.594,971.191,971.680,0.000
1731795635.244,296.875,-920.898,971.191,971.191,0.000
1731795635.248,390.625,933.594,971.680,971.191,0.000
1731795635.252,403.809,956.055,971.191,971.191,0.000
1731795635.256,407.227,974.609,971.191,971.191,0.000
1731795635.259,412.109,971.191,971.191,971.191,0.000
1731795635.263,413.086,971.191,971.191,971.191,0.000
1731795635.267,440.430,971.191,971.191,971.191,0.000
1731795635.271,451.660,971.191,971.680,971.191,0.000
1731795635.275,330.566,971.191,971.680,971.191,0.000
1731795635.279,294.922,971.191,971.191,971.191,0.000
1731795635.283,333.008,971.191,971.191,971.191,0.000
1731795635.287,252.930,971.191,971.191,971.680,0.000
1731795635.291,218.750,971.191,971.191,971.191,0.000
1731795635.295,286.133,971.191,971.191,971.191,0.000
1731795635.299,375.488,971.191,971.191,971.191,0.000
1731795635.302,369.629,971.191,971.191,971.191,0.000
1731795635.306,343.262,971.680,971.191,971.680,0.000
1731795635.310,299.805,971.191,971.191,971.191,0.000
1731795635.314,279.297,971.191,971.191,971.191,0.000
1731795635.318,252.930,971.191,971.191,971.191,0.000
1731795635.322,248.535,971.680,973.145,971.191,0.000
1731795635.326,278.809,971.191,963.379,971.191,0.000
1731795635.330,277.344,971.191,918.457,971.191,0.000
1731795635.334,190.918,971.680,-893.555,971.191,0.000
1731795635.338,149.414,971.191,95.703,971.191,0.000
1731795635.341,325.684,971.680,-1000.000,971.191,0.000
1731795635.345,151.855,971.680,82.520,971.191,0.000
1731795635.349,130.859,979.492,-895.020,971.191,0.000
1731795635.353,379.883,899.902,920.898,971.191,0.000
1731795635.357,286.133,-890.625,961.914,971.191,0.000
1731795635.361,233.887,345.703,973.633,971.191,0.000
1731795635.365,337.891,-1000.000,971.191,971.191,0.000
1731795635.369,397.949,-1000.000,971.191,971.191,0.000
1731795635.373,336.914,-960.449,971.191,971.191,0.000
1731795635.377,235.352,-1000.000,971.191,971.680,0.000
1731795635.381,252.930,-1000.000,971.191,971.191,0.000
1731795635.384,333.984,-1000.000,971.191,971.191,0.000
1731795635.388,286.133,-1000.000,971.191,971.191,0.000
1731795635.392,303.223,-1000.000,971.191,971.191,0.000
1731795635.396,345.215,-1000.000,971.191,971.191,0.000
1731795635.400,368.652,-1000.000,971.191,971.191,0.000
1731795635.404,333.984,-1000.000,971.191,971.191,0.000
1731795635.408,241.699,-1000.000,971.191,971.191,0.000
1731795635.412,192.383,-1000.000,971.191,971.680,0.000
1731795635.416,358.398,-1000.000,971.680,971.680,0.000
1731795635.420,356.934,-1000.000,971.680,971.680,0.000
1731795635.424,223.633,-1000.000,971.680,971.191,0.000
1731795635.427,235.840,-1000.000,971.680,971.191,0.000
1731795635.431,357.910,-1000.000,971.680,971.191,0.000
1731795635.435,360.352,-1000.000,971.680,971.191,0.000
1731795635.439,188.965,-1000.000,971.680,971.191,0.000
1731795635.443,196.777,-1000.000,971.680,971.191,0.000
1731795635.447,345.215,-1000.000,971.191,971.191,0.000
1731795635.451,373.047,-1000.000,971.680,971.191,0.000
1731795635.455,269.531,-1000.000,971.680,971.191,0.000
1731795635.459,239.746,-1000.000,971.680,971.191,0.000
1731795635.463,266.602,-1000.000,971.680,971.191,0.000
1731795635.466,320.801,-1000.000,971.191,971.191,0.000
1731795635.470,285.156,-1000.000,971.191,971.191,0.000
1731795635.474,160.156,-1000.000,971.680,971.680,0.000
1731795635.478,164.062,-1000.000,971.680,971.680,0.000
1731795635.482,354.492,-1000.000,971.191,971.191,0.000
1731795635.486,421.875,-1000.000,971.191,971.191,0.000
1731795635.490,298.340,-985.840,971.191,971.191,0.000
1731795635.494,206.055,-960.938,971.191,971.191,0.000
1731795635.498,381.836,-1000.000,971.191,971.191,0.000
1731795635.502,452.637,15.625,971.191,971.191,0.000
1731795635.506,287.598,-908.203,971.191,971.680,0.000
1731795635.509,123.047,925.293,971.191,971.191,0.000
1731795635.513,182.617,960.938,971.680,971.191,0.000
1731795635.517,339.355,973.145,971.191,971.191,0.000
1731795635.521,201.660,971.680,971.191,971.191,0.000
1731795635.525,54.688,971.191,971.680,971.191,0.000
1731795635.529,141.113,971.191,971.191,971.680,0.000
1731795635.533,367.676,971.191,971.191,971.191,0.000
1731795635.537,303.223,971.191,971.191,971.191,0.000
1731795635.541,129.395,971.191,971.191,971.191,0.000
1731795635.545,135.254,971.191,971.191,971.191,0.000
1731795635.549,365.723,971.191,971.191,971.191,0.000
1731795635.552,413.086,971.191,971.191,971.191,0.000
1731795635.556,152.344,971.191,971.191,971.191,0.000
1731795635.560,46.875,971.191,971.191,971.191,0.000
1731795635.564,286.621,972.656,971.191,971.191,0.000
1731795635.568,385.742,965.332,971.191,971.191,0.000
1731795635.572,176.758,918.945,972.656,978.516,0.000
1731795635.576,53.223,-900.879,965.332,901.367,0.000
1731795635.580,148.438,79.102,920.410,-890.625,0.000
1731795635.584,410.645,-1000.000,-842.285,381.836,0.000
1731795635.588,339.355,-969.238,-28.320,-1000.000,0.000
1731795635.591,97.168,-981.445,-314.453,-298.340,0.000
1731795635.595,171.387,-1000.000,-869.141,0.000,0.000
1731795635.599,435.059,-1000.000,867.676,0.000,0.000
1731795635.603,352.539,-1000.000,-747.070,0.000,0.000
1731795635.607,63.965,-934.570,-722.168,0.000,0.000
1731795635.611,12.695,-1000.000,861.816,0.000,0.000
1731795635.615,279.785,-773.438,-862.793,0.000,0.000
1731795635.619,424.805,806.152,-143.066,0.000,0.000
1731795635.623,224.121,809.082,-1000.000,0.000,0.000
1731795635.627,75.684,-761.230,127.930,0.000,0.000
1731795635.631,281.250,-1000.000,-752.441,0.000,0.000
1731795635.634,431.152,-936.523,193.359,0.000,0.000
1731795635.638,159.668,-1000.000,-1000.000,0.000,0.000
1731795635.642,-62.988,-1000.000,-253.906,-257.812,0.000
1731795635.646,80.566,-1000.000,-791.016,-799.805,0.000
1731795635.650,422.363,-1000.000,433.594,310.547,0.000
1731795635.654,400.879,-1000.000,-1000.000,-1000.000,0.000
1731795635.658,150.879,-934.082,-301.270,-318.848,0.000
1731795635.662,133.789,-1000.000,-942.383,-910.156,0.000
1731795635.666,340.820,-348.633,-948.730,899.414,0.000
1731795635.670,410.645,-842.773,-439.941,-695.801,0.000
1731795635.674,166.992,420.410,-688.477,-722.168,0.000
1731795635.677,84.961,-1000.000,876.953,853.516,0.000
1731795635.681,441.406,-1000.000,-825.195,-840.820,0.000
1731795635.685,551.758,-954.102,78.125,-55.664,0.000
1731795635.689,273.926,-1000.000,-1000.000,-1000.000,0.000
1731795635.693,69.824,-1000.000,145.508,153.809,0.000
1731795635.697,219.238,-1000.000,-735.352,-744.141,0.000
1731795635.701,491.699,-1000.000,187.500,189.941,0.000
1731795635.705,337.402,-1000.000,-1000.000,-1000.000,0.000
1731795635.709,69.336,-1000.000,-276.367,-270.020,0.000
1731795635.713,200.684,-1000.000,-809.570,-799.805,0.000
1731795635.716,523.926,-1000.000,513.184,479.004,0.000
1731795635.720,395.996,-1000.000,-1000.000,-1000.000,0.000
1731795635.724,54.199,-1000.000,-487.793,-367.676,0.000
1731795635.728,55.664,-1000.000,988.281,-936.523,0.000
1731795635.732,316.895,-1000.000,-926.270,981.445,0.000
1731795635.736,358.887,-1000.000,-393.555,-502.441,0.000
1731795635.740,149.902,-1000.000,-920.898,-938.477,0.000
1731795635.744,72.754,-1000.000,622.070,623.535,0.000
1731795635.748,322.266,-1000.000,-785.156,-806.641,0.000
1731795635.752,457.520,-1000.000,153.809,5.859,0.000
1731795635.756,237.793,-1000.000,-1000.000,-1000.000,0.000
1731795635.759,57.129,-1000.000,-44.434,-89.355,0.000
1731795635.763,206.055,-1000.000,-751.465,-773.926,0.000
1731795635.767,448.242,-1000.000,207.520,219.238,0.000
1731795635.771,366.211,-1000.000,-1000.000,-1000.000,0.000
1731795635.775,107.910,-1000.000,-371.582,-386.719,0.000
1731795635.779,157.227,-1000.000,-834.961,-841.309,0.000
1731795635.783,461.914,-1000.000,393.555,330.566,0.000
1731795635.787,397.949,-1000.000,-1000.000,-1000.000,0.000
1731795635.791,136.719,-1000.000,-1000.000,-1000.000,0.000
1731795635.795,67.383,-1000.000,314.453,342.773,0.000
1731795635.798,364.746,-1000.000,742.188,679.688,0.000
1731795635.802,409.668,-1000.000,-805.664,-869.141,0.000
1731795635.806,177.246,-1000.000,-1000.000,-1000.000,0.000
1731795635.810,76.660,-1000.000,-204.102,-187.012,0.000
1731795635.814,339.844,-1000.000,958.496,928.223,0.000
1731795635.818,578.613,-1000.000,-362.305,-416.504,0.000
1731795635.822,293.945,-1000.000,-1000.000,-1000.000,0.000
1731795635.826,72.754,-1000.000,-877.441,-840.820,0.000
1731795635.830,100.098,-1000.000,597.168,639.160,0.000
1731795635.834,354.492,-1000.000,156.738,124.512,0.000
1731795635.838,194.824,-1000.000,-1000.000,-1000.000,0.000
1731795635.841,-101.074,-933.594,-1000.000,-1000.000,0.000
1731795635.845,-79.590,-1000.000,-37.109,-12.695,0.000
1731795635.849,125.977,-605.957,255.859,265.137,0.000
1731795635.853,132.812,741.211,-1000.000,-1000.000,0.000
1731795635.857,-54.199,-832.520,-1000.000,-1000.000,0.000
1731795635.861,-80.566,134.766,-221.680,-168.945,0.000
1731795635.865,203.125,-1000.000,306.641,322.266,0.000
1731795635.869,318.359,-984.375,-986.816,-987.305,0.000
1731795635.873,109.375,-973.145,-1000.000,-1000.000,0.000
1731795635.877,-46.875,-1000.000,-952.637,-920.410,0.000
1731795635.881,105.957,-1000.000,-452.148,-280.273,0.000
1731795635.884,366.699,-1000.000,-768.555,-737.793,0.000
1731795635.888,154.785,-1000.000,-1000.000,-1000.000,0.000
1731795635.892,-40.039,-1000.000,-958.008,-946.777,0.000
1731795635.896,122.559,-929.199,-1000.000,-1000.000,0.000
1731795635.900,356.934,-1000.000,-1000.000,-1000.000,0.000
1731795635.904,230.957,-445.801,-1000.000,-1000.000,0.000
1731795635.908,119.141,-896.973,-1000.000,-1000.000,0.000
1731795635.912,225.586,234.375,-1000.000,-1000.000,0.000
1731795635.916,386.230,-1000.000,-1000.000,-1000.000,0.000
1731795635.920,322.754,-960.449,-1000.000,-1000.000,0.000
1731795635.924,95.703,598.145,-1000.000,-1000.000,0.000
1731795635.927,87.891,655.273,-1000.000,-1000.000,0.000
1731795635.931,233.887,-1000.000,-1000.000,-1000.000,0.000
1731795635.935,244.141,-260.742,-1000.000,-1000.000,0.000
1731795635.939,160.645,-910.645,-1000.000,-1000.000,0.000
1731795635.943,62.012,942.871,-1000.000,-1000.000,0.000
1731795635.947,106.445,946.289,-1000.000,-1000.000,0.000
1731795635.951,345.215,962.891,-1000.000,-1000.000,0.000
1731795635.955,322.266,918.945,-1000.000,-1000.000,0.000
1731795635.959,140.625,-851.074,-1000.000,-1000.000,0.000
1731795635.963,178.223,-164.062,-1000.000,-1000.000,0.000
1731795635.966,257.812,-784.180,-1000.000,-1000.000,0.000
1731795635.970,177.734,768.555,-1000.000,-1000.000,0.000
1731795635.974,112.793,-812.988,-1000.000,-1000.000,0.000
1731795635.978,134.766,204.102,-1000.000,-1000.000,0.000
1731795635.982,354.004,-1000.000,-1000.000,-1000.000,0.000
1731795635.986,360.352,-257.812,-1000.000,-1000.000,0.000
1731795635.990,194.336,-875.977,-1000.000,-1000.000,0.000
1731795635.994,167.480,808.105,-1000.000,-1000.000,0.000
1731795635.998,316.406,-571.289,-1000.000,-1000.000,0.000
1731795636.002,417.480,-1000.000,-1000.000,-1000.000,0.000
1731795636.006,243.652,23.926,-1000.000,-1000.000,0.000
1731795636.009,145.508,-720.703,-1000.000,-1000.000,0.000
1731795636.013,288.574,-119.629,-1000.000,-1000.000,0.000
1731795636.017,416.504,-592.285,-1000.000,-1000.000,0.000
1731795636.021,248.047,896.973,-1000.000,-1000.000,0.000
1731795636.025,86.914,-829.102,-1000.000,-1000.000,0.000
1731795636.029,171.387,198.242,-1000.000,-1000.000,0.000
1731795636.033,387.207,-1000.000,-1000.000,-1000.000,0.000
1731795636.037,284.668,-79.590,-1000.000,-1000.000,0.000
1731795636.041,47.852,-777.832,-1000.000,-1000.000,0.000
