timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796502.351,-687.500,-1000.000,-36.133,-640.625,0.000
1731796502.355,-1000.000,287.598,-41.992,-1000.000,0.000
1731796502.359,617.188,-781.250,10.742,439.941,0.000
1731796502.363,-814.453,336.914,31.250,-910.156,0.000
1731796502.367,-374.023,-1000.000,-20.996,-380.859,0.000
1731796502.371,-1000.000,-365.723,-63.965,-1000.000,0.000
1731796502.375,493.652,-927.734,-4.395,-433.594,0.000
1731796502.378,-770.996,863.770,46.387,998.535,0.000
1731796502.382,491.211,-752.441,3.418,359.863,0.000
1731796502.386,-975.098,-973.145,-51.270,-1000.000,0.000
1731796502.390,-123.047,757.324,-19.531,-921.875,0.000
1731796502.394,-843.750,-977.539,31.738,697.754,0.000
1731796502.398,879.395,-681.152,22.949,925.781,0.000
1731796502.402,-699.707,-1000.000,-19.531,-802.246,0.000
1731796502.406,-863.281,617.676,-25.391,-1000.000,0.000
1731796502.410,891.113,-871.094,29.297,628.906,0.000
1731796502.414,996.094,-366.211,36.621,-1000.000,0.000
1731796502.417,-683.105,-1000.000,-24.902,-650.879,0.000
1731796502.421,-1000.000,141.113,-59.570,-1000.000,0.000
1731796502.425,600.586,-823.730,7.324,281.250,0.000
1731796502.429,-789.062,234.375,47.852,-911.621,0.000
1731796502.433,-223.145,-1000.000,6.348,-343.262,0.000
1731796502.437,-1000.000,-630.859,-37.109,-1000.000,0.000
1731796502.441,444.336,947.754,0.977,-478.516,0.000
1731796502.445,-774.414,893.066,41.504,984.863,0.000
1731796502.449,604.980,-778.809,13.184,485.352,0.000
1731796502.453,-910.645,-1000.000,-39.062,-1000.000,0.000
1731796502.457,-202.637,711.914,-11.230,-935.059,0.000
1731796502.460,-851.074,-998.535,39.551,708.008,0.000
1731796502.464,885.742,-737.305,15.625,938.477,0.000
1731796502.468,-698.242,-1000.000,-38.574,-757.324,0.000
1731796502.472,-882.812,619.629,-38.574,-1000.000,0.000
1731796502.476,855.957,-838.867,20.996,536.133,0.000
1731796502.480,-959.473,-243.652,29.785,979.980,0.000
1731796502.484,-623.535,-1000.000,-35.645,-608.887,0.000
1731796502.488,-1000.000,172.363,-55.176,-1000.000,0.000
1731796502.492,584.473,-807.129,18.066,-185.059,0.000
1731796502.496,-772.949,554.199,45.898,-995.117,0.000
1731796502.500,-0.977,-963.379,-2.930,-169.434,0.000
1731796502.503,-1000.000,-764.160,-50.293,-1000.000,0.000
1731796502.507,318.848,899.902,4.883,-776.367,0.000
1731796502.511,-773.926,972.656,46.387,782.715,0.000
1731796502.515,667.969,-707.520,-4.883,465.820,0.000
1731796502.519,-886.230,-1000.000,-63.965,-1000.000,0.000
1731796502.523,-426.758,696.777,-39.551,-1000.000,0.000
1731796502.527,-912.109,-942.871,22.949,580.078,0.000
1731796502.531,912.109,-613.281,25.879,877.441,0.000
1731796502.535,-698.730,-1000.000,-27.344,-732.910,0.000
1731796502.539,-949.707,499.023,-38.086,-1000.000,0.000
1731796502.542,757.812,-830.078,19.531,-46.875,0.000
1731796502.546,-890.625,-146.484,33.203,887.695,0.000
1731796502.550,-531.250,-1000.000,-29.297,-511.230,0.000
1731796502.554,-1000.000,-166.504,-62.012,-1000.000,0.000
1731796502.558,568.359,-878.906,8.789,-616.699,0.000
1731796502.562,-763.184,311.035,53.711,824.707,0.000
1731796502.566,222.656,-1000.000,5.371,43.457,0.000
1731796502.570,-1000.000,-767.090,-52.734,-1000.000,0.000
